number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_num_boost_round,params_scale_pos_weight,params_subsample,state
67,0.4945372750642673,2025-11-16 19:26:16.888605,2025-11-16 19:26:17.119179,0 days 00:00:00.230574,0.4129997211204124,0.727482765360483,2.7222113364794227,1.569713156440384,0.03576128621753474,3,6,755,1.12146890091855,0.9260936700800301,PRUNED
68,0.5077675858845525,2025-11-16 19:26:17.120176,2025-11-16 19:26:17.261331,0 days 00:00:00.141155,0.08951750393269903,0.5965256809158092,3.2774077503105916,0.013501534026960894,0.06304956400306477,2,7,798,1.4182168687332062,0.8616387299686101,PRUNED
69,0.5161252629118953,2025-11-16 19:26:17.263335,2025-11-16 19:26:17.458455,0 days 00:00:00.195120,0.9897788045946893,0.5248762809151284,1.7321158006289354,3.084088094676277,0.05595189927158068,5,4,552,1.6040774961474946,0.9068367381812328,PRUNED
70,0.4953376957232998,2025-11-16 19:26:17.459515,2025-11-16 19:26:17.591620,0 days 00:00:00.132105,0.0034929926765835903,0.6489253480928141,2.3440703110924797,0.04428454514632268,0.04601461763395243,3,5,140,1.7076502421148867,0.8019725744705033,PRUNED
71,0.5227857807203502,2025-11-16 19:26:17.592635,2025-11-16 19:26:18.680447,0 days 00:00:01.087812,0.05353497749981473,0.9214086664305028,3.8542589316616747,0.3441162893979063,0.02458187108213633,2,1,499,1.8345267199952842,0.962948835232903,COMPLETE
72,0.5217615951870386,2025-11-16 19:26:18.682457,2025-11-16 19:26:19.866838,0 days 00:00:01.184381,0.04831875149856169,0.8696987697308592,4.464184698053542,0.5345907125573512,0.02305927152521609,2,1,509,1.9997138761679558,0.9669981802599429,COMPLETE
73,0.4935031549427436,2025-11-16 19:26:19.867896,2025-11-16 19:26:20.001778,0 days 00:00:00.133882,0.05179022264212609,0.8952855181171137,4.658868695318318,0.5517144271534105,0.01595958923758861,2,1,517,1.9710155115514596,0.9624318341002294,PRUNED
74,0.538101776115915,2025-11-16 19:26:20.003335,2025-11-16 19:26:20.369658,0 days 00:00:00.366323,0.02178276883131324,0.9349180081323989,4.193668478684774,0.2921389530366139,0.023061194336576926,2,1,486,1.9161619707544442,0.9901975133584159,PRUNED
75,0.5199759154182366,2025-11-16 19:26:20.371545,2025-11-16 19:26:21.964058,0 days 00:00:01.592513,0.06941808210665877,0.8265019155636592,4.066224130740335,0.12999535275128857,0.0313179992983927,2,2,455,1.9926044381757047,0.9472538364333027,COMPLETE
76,0.5246512107849901,2025-11-16 19:26:21.965765,2025-11-16 19:26:23.178201,0 days 00:00:01.212436,0.005546246464897004,0.861931123938047,4.457240234563328,0.4398414429460753,0.027139404560935516,2,1,416,1.8395266452476675,0.9731337240842407,COMPLETE
77,0.5244594831784986,2025-11-16 19:26:23.179202,2025-11-16 19:26:24.185157,0 days 00:00:01.005955,0.005530336753741594,0.86573476934544,4.55527675764478,0.7423768564428411,0.025445723352685537,2,1,331,1.8432731275503302,0.9719481465042404,COMPLETE
78,0.5262778755454014,2025-11-16 19:26:24.186155,2025-11-16 19:26:25.497265,0 days 00:00:01.311110,0.0015769037017962502,0.9224173690466511,3.7807010665552445,0.8077237744823511,0.026467705880968775,2,1,410,1.8365734451040352,0.9803044137779104,COMPLETE
79,0.5252682667074359,2025-11-16 19:26:25.498267,2025-11-16 19:26:27.255579,0 days 00:00:01.757312,0.0013874160200337078,0.9755573115670194,3.701190348952233,0.7369416122892014,0.021181009847754634,2,1,329,1.848284532750031,0.9803666372559366,COMPLETE
80,0.5028131572797383,2025-11-16 19:26:27.257585,2025-11-16 19:26:27.402111,0 days 00:00:00.144526,0.001467298320934951,0.8566484885713472,3.8661732148576045,2.459299537899658,0.016893676667771147,2,1,324,1.8385911526109946,0.9798090803510034,PRUNED
81,0.5221571830799322,2025-11-16 19:26:27.404240,2025-11-16 19:26:28.712068,0 days 00:00:01.307828,0.0010320181507803645,0.9764240279658817,3.6991982863759656,0.9516754770964821,0.019672171969041887,2,1,365,1.864788269982553,0.9975129248539398,COMPLETE
82,0.5338484458985744,2025-11-16 19:26:28.714071,2025-11-16 19:26:28.914528,0 days 00:00:00.200457,0.0013452641460525777,0.9564103235893364,4.990884324315876,0.7066418577738093,0.02555952779816786,2,1,341,1.772451314983308,0.9741524527200547,PRUNED
83,0.5369946249123627,2025-11-16 19:26:28.916525,2025-11-16 19:26:29.238756,0 days 00:00:00.322231,0.0021795544964038132,0.8926157201121311,4.456919582168346,1.208656795846155,0.021176204143399397,2,2,309,1.8219488115244886,0.9589300722057436,PRUNED
84,0.5387181584482355,2025-11-16 19:26:29.239904,2025-11-16 19:26:29.439610,0 days 00:00:00.199706,0.004900556764348303,0.9887783183434082,3.557433635312507,1.2086162999628456,0.02752220205750668,2,1,398,1.7397056647696734,0.9999730304158957,PRUNED
85,0.5065844823556906,2025-11-16 19:26:29.441114,2025-11-16 19:26:29.644238,0 days 00:00:00.203124,0.0018555165860011942,0.9492178389784425,4.284200688488478,4.633970765681477,0.012279531779337952,2,2,293,1.9152233741963005,0.9856954312611107,PRUNED
86,0.5393199345641505,2025-11-16 19:26:29.646249,2025-11-16 19:26:30.071373,0 days 00:00:00.425124,0.0059154937792806304,0.9230455635559094,4.577969332192234,0.32888984304194413,0.02201216133338882,2,1,234,1.8759798860278747,0.9591309803082598,PRUNED
87,0.523671244733087,2025-11-16 19:26:30.072467,2025-11-16 19:26:31.167913,0 days 00:00:01.095446,0.003423060850622232,0.968622394589201,4.763866357497999,0.4168606588382818,0.023959329267622526,3,1,413,1.946010887951402,0.921463625902278,COMPLETE
88,0.5085913764898341,2025-11-16 19:26:31.169102,2025-11-16 19:26:31.277508,0 days 00:00:00.108406,0.0032839477250477685,0.9677192957817451,4.724138507454316,0.4177740772621512,0.02430828584124488,3,1,378,1.9498296372956203,0.9202000223187838,PRUNED
89,0.4925011684973124,2025-11-16 19:26:31.278675,2025-11-16 19:26:31.446654,0 days 00:00:00.167979,0.0018445351276005159,0.7990605420745568,4.734030939370576,1.5434784563327955,0.018888580906893417,2,2,413,1.7878069690600487,0.9309731627801197,PRUNED
90,0.4953435382098621,2025-11-16 19:26:31.447653,2025-11-16 19:26:31.545778,0 days 00:00:00.098125,0.0035858862951981237,0.9068895903871095,4.344752445416706,0.7945702209498708,0.016738163666700407,2,1,341,1.8604339643690497,0.9717916238181061,PRUNED
91,0.531342019163356,2025-11-16 19:26:31.547777,2025-11-16 19:26:31.962056,0 days 00:00:00.414279,0.006776870241337986,0.9801592301393978,3.8351050017080577,0.2666558979778406,0.026958090238940295,3,1,393,1.9014263769721704,0.9538803810141054,PRUNED
92,0.5251548571704754,2025-11-16 19:26:31.964056,2025-11-16 19:26:32.843023,0 days 00:00:00.878967,0.004053412205183338,0.9580560009758876,4.093029684150539,0.4104844187743107,0.03093859410526501,2,2,448,1.8282442127013685,0.9862171171067462,COMPLETE
